3.07, 20.41
3.18, 19.65
3.31, 18.96
3.43, 18.35
3.56, 17.74
3.69, 17.14
3.83, 16.57
3.98, 15.99
4.13, 15.44
4.28, 14.93
4.43, 14.45
4.59, 14.01
4.74, 13.60
4.89, 13.22
5.05, 12.89
5.20, 12.50
5.35, 12.17
5.51, 11.87
5.66, 11.57
5.81, 11.30
5.97, 11.04
6.12, 10.80
6.27, 10.56
6.43, 10.30
6.58, 10.11
6.73, 9.90
6.89, 9.71
7.04, 9.69
7.22, 9.55
7.34, 9.58
7.50, 9.62
7.65, 9.62
7.80, 9.62
7.96, 9.60
8.11, 9.59
8.26, 9.59
8.42, 9.59
8.57, 9.59
8.72, 9.59
8.88, 9.59
9.03, 9.58
9.18, 9.58
9.34, 9.58
9.49, 9.58
9.64, 9.58
9.79, 9.58
9.95, 9.64
10.10, 9.58
10.25, 9.57
10.41, 9.55
10.56, 9.54
10.71, 9.46
10.87, 9.35
11.02, 9.23
11.17, 9.13
11.33, 9.01
11.48, 8.90
11.63, 8.79
11.79, 8.68
11.94, 8.60
12.09, 8.56
12.25, 8.51
12.37, 8.47
12.73, 7.98
12.89, 7.94
13.04, 7.89
13.19, 7.86
13.34, 7.79
13.50, 7.71
13.65, 7.64
13.80, 7.57
13.96, 7.50
14.11, 7.42
14.26, 7.35
14.42, 7.28
14.57, 7.22
14.72, 7.16
14.88, 7.09
15.10, 7.00
15.25, 6.94
15.41, 6.88
15.56, 6.82
15.71, 6.77
15.86, 6.71
16.02, 6.66
16.17, 6.61
16.32, 6.55
16.48, 6.49
16.63, 6.45
16.78, 6.40
16.94, 6.35
17.09, 6.30
17.24, 6.26
17.40, 6.21
17.55, 6.16
17.70, 6.12
17.86, 6.07
18.01, 6.03
18.16, 5.99
18.32, 5.95
18.47, 5.90
18.62, 5.87
18.77, 5.83
18.93, 5.78
19.08, 5.74
19.23, 5.70
19.39, 5.67
19.54, 5.63
19.69, 5.60
19.85, 5.56
20.00, 5.47
20.15, 5.49
20.31, 5.45
20.46, 5.41
20.61, 5.39
20.77, 5.35
20.92, 5.32
21.07, 5.29
21.22, 5.26
21.38, 5.23
21.53, 5.20
21.68, 5.17
21.84, 5.14
21.99, 5.11
22.14, 5.08
22.30, 5.05
22.45, 5.02
22.60, 5.00
22.76, 4.96
22.91, 4.95
23.06, 4.91
23.22, 4.89
23.37, 4.86
23.52, 4.84
23.66, -11.28
23.67, 4.81
23.81, -11.29
23.83, 4.79
23.97, -11.29
23.98, 4.76
24.12, -11.29
24.13, 4.74
24.27, -11.29
24.29, 4.71
24.43, -11.29
24.44, 4.68
24.58, -11.29
24.59, 4.66
24.71, -11.29
24.75, 4.63
24.89, 4.62
